Model,Threshold,Accuracy,Recall (Fatigue),Precision (Fatigue),F1 (Fatigue),ROC-AUC
Logistic Regression (Balanced),0.1,0.38125,0.9893992932862191,0.3626943005181347,0.5308056872037915,0.7933272276178824
Logistic Regression (Balanced),0.15000000000000002,0.41625,0.980565371024735,0.37550744248985113,0.5430528375733855,0.7933272276178824
Logistic Regression (Balanced),0.20000000000000004,0.45625,0.9681978798586572,0.3914285714285714,0.5574771108850458,0.7933272276178824
Logistic Regression (Balanced),0.25000000000000006,0.50625,0.9469964664310954,0.41358024691358025,0.5757250268528464,0.7933272276178824
Logistic Regression (Balanced),0.30000000000000004,0.558125,0.9240282685512368,0.44060657118786856,0.5966913861950941,0.7933272276178824
Logistic Regression (Balanced),0.3500000000000001,0.614375,0.8886925795053003,0.47587511825922424,0.6198398028342575,0.7933272276178824
Logistic Regression (Balanced),0.40000000000000013,0.659375,0.8445229681978799,0.5112299465240642,0.6369087275149901,0.7933272276178824
Logistic Regression (Balanced),0.45000000000000007,0.694375,0.8021201413427562,0.54632972322503,0.6499642090193272,0.7933272276178824
Logistic Regression (Balanced),0.5000000000000001,0.71875,0.7438162544169611,0.5798898071625345,0.651702786377709,0.7933272276178824
Logistic Regression (Balanced),0.5500000000000002,0.74,0.6819787985865724,0.6205787781350482,0.6498316498316499,0.7933272276178824
Logistic Regression (Balanced),0.6000000000000002,0.7425,0.588339222614841,0.650390625,0.6178107606679035,0.7933272276178824
Logistic Regression (Balanced),0.6500000000000001,0.7475,0.49823321554770317,0.7014925373134329,0.5826446280991735,0.7933272276178824
Logistic Regression (Balanced),0.7000000000000002,0.738125,0.3957597173144876,0.7441860465116279,0.5167243367935409,0.7933272276178824
Logistic Regression (Balanced),0.7500000000000002,0.720625,0.2791519434628975,0.8020304568527918,0.41415465268676277,0.7933272276178824
Logistic Regression (Balanced),0.8000000000000002,0.701875,0.1872791519434629,0.8617886178861789,0.3076923076923077,0.7933272276178824
Logistic Regression (Balanced),0.8500000000000002,0.67875,0.10600706713780919,0.8823529411764706,0.1892744479495268,0.7933272276178824
Logistic Regression (Balanced),0.9000000000000002,0.659375,0.044169611307420496,0.8620689655172413,0.08403361344537816,0.7933272276178824
Random Forest (Balanced),0.1,0.384375,0.9823321554770318,0.36316133246244287,0.5302813543156891,0.7958646308206492
Random Forest (Balanced),0.15000000000000002,0.491875,0.941696113074205,0.40594059405940597,0.5673230441724322,0.7958646308206492
Random Forest (Balanced),0.20000000000000004,0.594375,0.8904593639575972,0.461961503208066,0.6083283041641521,0.7958646308206492
Random Forest (Balanced),0.25000000000000006,0.663125,0.8268551236749117,0.5148514851485149,0.6345762711864407,0.7958646308206492
Random Forest (Balanced),0.30000000000000004,0.716875,0.7632508833922261,0.5752330226364847,0.6560364464692483,0.7958646308206492
Random Forest (Balanced),0.3500000000000001,0.74375,0.6925795053003534,0.6242038216560509,0.6566164154103853,0.7958646308206492
Random Forest (Balanced),0.40000000000000013,0.758125,0.6307420494699647,0.6672897196261682,0.6485013623978202,0.7958646308206492
Random Forest (Balanced),0.45000000000000007,0.756875,0.5600706713780919,0.6936542669584245,0.6197458455522972,0.7958646308206492
Random Forest (Balanced),0.5000000000000001,0.759375,0.5141342756183745,0.7256857855361596,0.6018614270941055,0.7958646308206492
Random Forest (Balanced),0.5500000000000002,0.760625,0.4717314487632509,0.7606837606837606,0.5823336968375137,0.7958646308206492
Random Forest (Balanced),0.6000000000000002,0.753125,0.4081272084805654,0.7938144329896907,0.5390898483080513,0.7958646308206492
Random Forest (Balanced),0.6500000000000001,0.74625,0.3657243816254417,0.8149606299212598,0.5048780487804878,0.7958646308206492
Random Forest (Balanced),0.7000000000000002,0.73625,0.31448763250883394,0.839622641509434,0.45758354755784064,0.7958646308206492
Random Forest (Balanced),0.7500000000000002,0.7175,0.23674911660777384,0.8701298701298701,0.37222222222222223,0.7958646308206492
Random Forest (Balanced),0.8000000000000002,0.7075,0.19081272084805653,0.9152542372881356,0.3157894736842105,0.7958646308206492
Random Forest (Balanced),0.8500000000000002,0.6875,0.13250883392226148,0.8928571428571429,0.23076923076923078,0.7958646308206492
Random Forest (Balanced),0.9000000000000002,0.668125,0.06890459363957598,0.9069767441860465,0.12807881773399016,0.7958646308206492
XGBoost (Balanced),0.1,0.503125,0.9151943462897526,0.40948616600790516,0.565811032222829,0.763341443910574
XGBoost (Balanced),0.15000000000000002,0.55875,0.8621908127208481,0.43727598566308246,0.5802615933412604,0.763341443910574
XGBoost (Balanced),0.20000000000000004,0.6125,0.8197879858657244,0.4725050916496945,0.599483204134367,0.763341443910574
XGBoost (Balanced),0.25000000000000006,0.654375,0.7879858657243817,0.5073947667804323,0.6173010380622838,0.763341443910574
XGBoost (Balanced),0.30000000000000004,0.671875,0.734982332155477,0.5259165613147914,0.6131171702284451,0.763341443910574
XGBoost (Balanced),0.3500000000000001,0.691875,0.6996466431095406,0.5507649513212796,0.6163424124513619,0.763341443910574
XGBoost (Balanced),0.40000000000000013,0.71125,0.6784452296819788,0.5783132530120482,0.624390243902439,0.763341443910574
XGBoost (Balanced),0.45000000000000007,0.72875,0.6519434628975265,0.6089108910891089,0.6296928327645052,0.763341443910574
XGBoost (Balanced),0.5000000000000001,0.736875,0.627208480565371,0.6283185840707964,0.627763041556145,0.763341443910574
XGBoost (Balanced),0.5500000000000002,0.73375,0.5865724381625441,0.6335877862595419,0.6091743119266055,0.763341443910574
XGBoost (Balanced),0.6000000000000002,0.744375,0.5547703180212014,0.6666666666666666,0.6055930568948891,0.763341443910574
XGBoost (Balanced),0.6500000000000001,0.745625,0.5141342756183745,0.6879432624113475,0.5884732052578362,0.763341443910574
XGBoost (Balanced),0.7000000000000002,0.745,0.4734982332155477,0.708994708994709,0.5677966101694916,0.763341443910574
XGBoost (Balanced),0.7500000000000002,0.740625,0.43109540636042404,0.7240356083086054,0.540420819490587,0.763341443910574
XGBoost (Balanced),0.8000000000000002,0.735625,0.38162544169611307,0.7474048442906575,0.5052631578947369,0.763341443910574
XGBoost (Balanced),0.8500000000000002,0.72875,0.3374558303886926,0.764,0.4681372549019608,0.763341443910574
XGBoost (Balanced),0.9000000000000002,0.72,0.2826855123674912,0.7920792079207921,0.4166666666666667,0.763341443910574
LightGBM (Balanced),0.1,0.3775,0.991166077738516,0.36146907216494845,0.5297450424929179,0.7854091626740299
LightGBM (Balanced),0.15000000000000002,0.440625,0.9628975265017667,0.38407329105003524,0.5491183879093199,0.7854091626740299
LightGBM (Balanced),0.20000000000000004,0.525,0.9063604240282686,0.4204918032786885,0.574468085106383,0.7854091626740299
LightGBM (Balanced),0.25000000000000006,0.608125,0.8692579505300353,0.47081339712918663,0.6108007448789572,0.7854091626740299
LightGBM (Balanced),0.30000000000000004,0.661875,0.8250883392226148,0.5137513751375138,0.6332203389830509,0.7854091626740299
LightGBM (Balanced),0.3500000000000001,0.690625,0.773851590106007,0.5440993788819876,0.6389496717724289,0.7854091626740299
LightGBM (Balanced),0.40000000000000013,0.71375,0.7314487632508834,0.575,0.6438569206842923,0.7854091626740299
LightGBM (Balanced),0.45000000000000007,0.73,0.6890459363957597,0.6037151702786377,0.6435643564356436,0.7854091626740299
LightGBM (Balanced),0.5000000000000001,0.73875,0.6484098939929329,0.6262798634812287,0.6371527777777778,0.7854091626740299
LightGBM (Balanced),0.5500000000000002,0.753125,0.6130742049469965,0.6634799235181644,0.6372819100091828,0.7854091626740299
LightGBM (Balanced),0.6000000000000002,0.750625,0.5653710247349824,0.6765327695560254,0.6159769008662175,0.7854091626740299
LightGBM (Balanced),0.6500000000000001,0.75125,0.5159010600706714,0.7019230769230769,0.594704684317719,0.7854091626740299
LightGBM (Balanced),0.7000000000000002,0.751875,0.4911660777385159,0.7183462532299741,0.583420776495278,0.7854091626740299
LightGBM (Balanced),0.7500000000000002,0.753125,0.43462897526501765,0.7663551401869159,0.5546786922209695,0.7854091626740299
LightGBM (Balanced),0.8000000000000002,0.7475,0.37985865724381623,0.8022388059701493,0.5155875299760192,0.7854091626740299
LightGBM (Balanced),0.8500000000000002,0.729375,0.30212014134275617,0.8181818181818182,0.44129032258064516,0.7854091626740299
LightGBM (Balanced),0.9000000000000002,0.713125,0.21908127208480566,0.8794326241134752,0.3507779349363508,0.7854091626740299
